alkylated DNA	REACTION1
ubiquitin C-terminal thioester	REACTION207
REACTION207	ubiquitin
REACTION207	thiol
(3R)-3-hydroxyacyl-CoA	REACTION208
NADP+	REACTION208
REACTION208	3-oxoacyl-CoA
REACTION208	NADPH
tRNAthr	REACTION209
L-threonine	REACTION209
ATP	REACTION209
REACTION209	L-threonyl-[tRNAthr]
REACTION209	AMP
REACTION209	diphosphate
4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	REACTION210
NAD(P)+	REACTION210
REACTION210	3-dehydro-4-methylzymosterol
REACTION210	NAD(P)H
1,4-alpha-D-glucan	REACTION211
REACTION211	glycogen
uridine38-40 in tRNA	REACTION212
REACTION212	pseudouridine38-40 in tRNA
[L-cysteine desulfurase]-L-cysteine	REACTION213
L-cysteine	REACTION213
REACTION213	[L-cysteine desulfurase] L-cysteine persulfide
REACTION213	L-alanine
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate	REACTION214
ATP	REACTION214
REACTION214	1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate
REACTION214	ADP
glutaryl-CoA	REACTION215
oxidized electron-transfer flavoprotein	REACTION215
REACTION215	crotonyl-CoA
REACTION215	reduced electron-transfer flavoprotein
(deoxynucleotides)(n)	REACTION216
REACTION216	(deoxynucleotides)(n-1)
REACTION216	nucleoside 5'-monophosphate
[protein]-L-tyrosine phosphate	REACTION217
REACTION217	[protein]-L-tyrosine
REACTION217	phosphate
glycogen	REACTION218
phosphate	REACTION218
REACTION218	alpha-D-glucose 1-phosphate
REACTION218	maltotetraose
[histone]-L-lysine	REACTION219
S-adenosyl-L-methionine	REACTION219
REACTION219	[histone] N6-methyl-L-lysine
REACTION219	S-adenosyl-L-homocysteine
oligopeptide	REACTION220
REACTION220	peptide
REACTION220	peptide
NADH	REACTION221
ubiquinone[inner membrane]	REACTION221
REACTION221	NAD+
REACTION221	ubiquinol[inner membrane]
acetaldehyde	REACTION222
coenzyme A	REACTION222
NAD+	REACTION222
REACTION222	acetyl-CoA
REACTION222	NADH
(R)-mevalonate	REACTION223
coenzyme A	REACTION223
NADP+	REACTION223
REACTION223	(S)-3-hydroxy-3-methylglutaryl-CoA
REACTION223	NADPH
lanosterol	REACTION224
NADPH	REACTION224
REACTION224	24,25-dihydrolanosterol
REACTION224	NADP+
4-imidazolone-5-propionate	REACTION225
REACTION225	urocanate
1-phosphatidyl-1D-myo-inositol 4-phosphate	REACTION226
REACTION226	1,2-diacyl-sn-glycerol
REACTION226	D-myo-inositol (1,4)-bisphosphate
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate	REACTION227
REACTION227	1,2-diacyl-sn-glycerol
REACTION227	D-myo-inositol (1,4,5)-trisphosphate
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate	REACTION228
REACTION228	1-phosphatidyl-1D-myo-inositol 4-phosphate
REACTION228	phosphate
beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<-->1)-ceramide	REACTION229
CMP-N-acetyl-beta-neuraminate	REACTION229
REACTION229	1-O-[O-(N-acetyl-alpha-neuraminyl)-2,3-beta-D-galactosyl-1,4-beta-D-glucosyl]ceramide
REACTION229	CMP
dipeptide with proline at the C-terminal	REACTION230
REACTION230	L-proline
REACTION230	standard alpha amino acid
[protein] N6-methyl-L-lysine	REACTION231
2-oxoglutarate	REACTION231
REACTION231	[protein]-L-lysine
REACTION231	succinate
REACTION231	formaldehyde
diphosphate	REACTION232
REACTION232	phosphate
ATP	REACTION233
mRNA	REACTION233
REACTION233	mRNA
REACTION233	diphosphate
mRNA with poly(A) tail	REACTION234
REACTION234	mRNA
REACTION234	AMP
ATP	REACTION235
REACTION235	cyclic-AMP
REACTION235	diphosphate
L-1-phosphatidyl-inositol	REACTION236
UDP-N-acetyl-alpha-D-glucosamine	REACTION236
REACTION236	6-(N-acetyl-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol
REACTION236	UDP
ATP	REACTION237
pyruvate dehydrogenase	REACTION237
REACTION237	ADP
REACTION237	phosphorylated pyruvate dehydrogenase
ribose-1-arsenate	REACTION238
dihydrolipoate	REACTION238
REACTION238	D-ribofuranose
REACTION238	arsenite
REACTION238	(R)-lipoate
octanoate	REACTION239
ATP	REACTION239
coenzyme A	REACTION239
REACTION239	octanoyl-CoA
REACTION239	AMP
REACTION239	diphosphate
lathosterol	REACTION240
REACTION240	zymostenol
3',5'-diiodothyronine	REACTION241
unknown reduced electron acceptor	REACTION241
REACTION241	3'-monoiodothyronine
REACTION241	iodide
REACTION241	unknown oxidized electron acceptor
N-acyl-L-aspartate	REACTION242
REACTION242	L-aspartate
REACTION242	carboxylate
1D-myo-inositol 1,2,3,4,5,6-hexakisphosphate	REACTION243
REACTION243	D-myo-inositol (1,2,4,5,6)-pentakisphosphate
REACTION243	phosphate
XMP	REACTION244
L-glutamine	REACTION244
ATP	REACTION244
REACTION244	L-glutamate
REACTION244	GMP
REACTION244	AMP
REACTION244	diphosphate
phosphatidylcholine	REACTION245
L-serine	REACTION245
REACTION245	L-1-phosphatidylserine
REACTION245	choline
RH	REACTION246
reduced [NADPH-hemoprotein reductase]	REACTION246
REACTION246	ROH
REACTION246	oxidized [NADPH-hemoprotein reductase]
[protein] (L-serine/L-threonine) phosphate	REACTION247
REACTION247	[protein]-(L-serine/L-threonine)
REACTION247	phosphate
ADP-D-ribosyl(n)-acceptor	REACTION248
NAD+	REACTION248
REACTION248	ADP-D-ribosyl(n+1)-acceptor
REACTION248	nicotinamide
15S-hydroxypentaenoate	REACTION249
REACTION249	lipoxin B4
NAD(P)H	REACTION250
REACTION250	NAD(P)+
dolichyl diphosphooligosaccharide	REACTION251
[protein]-L-asparagine	REACTION251
REACTION251	glycoprotein with the oligosaccharide chain attached by N-glycosyl linkage to protein L-asparagine
REACTION251	dolichyl diphosphate
RNA	REACTION252
REACTION252	ribonucleoside 3'-phosphate
REACTION252	3' phosphooligonucleotide
apo-4'-lycopenal	REACTION253
NAD(P)+	REACTION253
REACTION253	apo-4'-lycopenoate
REACTION253	NADPH
L-ornithine	REACTION254
carbamoyl-phosphate	REACTION254
REACTION254	L-citrulline
REACTION254	phosphate
[protein]-L-tyrosine phosphate	REACTION255
REACTION255	[protein]-L-tyrosine
REACTION255	phosphate
obtusifoliol	REACTION256
NADPH	REACTION256
REACTION256	formate
REACTION256	4alpha-methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol
REACTION256	NADP+
6-hydroxymelatonin	REACTION257
3'-phosphoadenylyl-sulfate	REACTION257
REACTION257	6-sulfatoxymelatonin
REACTION257	adenosine 3',5'-bisphosphate
1,2-diacyl-sn-glycerol	REACTION258
CDP-ethanolamine	REACTION258
REACTION258	L-1-phosphatidylethanolamine
REACTION258	CMP
1D-myo-inositol 1-monophosphate	REACTION259
REACTION259	myo-inositol
REACTION259	phosphate
ATP	REACTION260
1,2-diacyl-sn-glycerol	REACTION260
REACTION260	1,2-diacyl-sn-glycerol 3-phosphate
REACTION260	ADP
trans-1,2-dihydrobenzene-1,2-diol	REACTION261
NADP+	REACTION261
REACTION261	catechol
REACTION261	NADPH
ATP	REACTION262
REACTION262	cyclic-AMP
REACTION262	diphosphate
long-chain acyl-CoA	REACTION263
sn-glycerol 3-phosphate	REACTION263
REACTION263	1-acyl-sn-glycerol 3-phosphate
REACTION263	coenzyme A
polypeptide	REACTION264
REACTION264	dipeptide
REACTION264	peptide
all-trans-13,14-dihydroretinol	REACTION265
unknown oxidized electron acceptor	REACTION265
REACTION265	all-trans-retinol
REACTION265	unknown reduced electron acceptor
acetyl-CoA	REACTION266
[Co(I) corrinoid Fe-S protein]	REACTION266
REACTION266	carbon monoxide
REACTION266	[methyl-Co(III) corrinoid Fe-S protein]
REACTION266	coenzyme A
cis-3-enoyl-CoA[mitochondrial lumen]	REACTION267
REACTION267	trans-2-enoyl-CoA[mitochondrial lumen]
cis-3-enoyl-CoA[peroxisomal lumen]	REACTION268
REACTION268	trans-2-enoyl-CoA[peroxisomal lumen]
NADH[mitochondrial lumen]	REACTION269
ubiquinone[mitochondrial inner membrane]	REACTION269
REACTION269	NAD+[mitochondrial lumen]
REACTION269	ubiquinol[mitochondrial inner membrane]
leukotriene A4	REACTION270
REACTION270	leukotriene B4
agmatine	REACTION271
REACTION271	urea
REACTION271	putrescine
XMP	REACTION272
REACTION272	xanthosine
REACTION272	phosphate
peptidylproline (omega = 180)	REACTION273
REACTION273	peptidylproline (omega = 0)
NADH[mitochondrial lumen]	REACTION274
ubiquinone[mitochondrial inner membrane]	REACTION274
REACTION274	NAD+[mitochondrial lumen]
REACTION274	ubiquinol[mitochondrial inner membrane]
[protein]-(L-serine/L-threonine)	REACTION275
ATP	REACTION275
REACTION275	[protein] (L-serine/L-threonine) phosphate
REACTION275	ADP
[protein]-L-glutamine	REACTION276
alkylamine	REACTION276
REACTION276	ammonium
REACTION276	protein-N5-alkylglutamine
triglyceride	REACTION277
REACTION277	1,2-diglyceride
REACTION277	fatty acid
NADH[mitochondrial lumen]	REACTION278
ubiquinone[mitochondrial inner membrane]	REACTION278
REACTION278	NAD+[mitochondrial lumen]
REACTION278	ubiquinol[mitochondrial inner membrane]
UDP-N-acetyl-alpha-D-glucosamine	REACTION279
beta-D-galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminyl-[glycoprotein]-L-serine/L-threonine	REACTION279
REACTION279	beta-D-galactosyl-(1->3)-[N-acetyl-beta-D-glucosaminyl-(1->6)]-N-acetyl-alpha-D-galactosaminyl-[glycoprotein]
REACTION279	UDP
heparan sulfate containing a glucuronate--N,3-O-disulfo-D-glucosamine disaccharide	REACTION280
REACTION280	short heparan sulfate fragments
phosphatidylcholine	REACTION281
REACTION281	2-acyl 1-lyso-phosphatidylcholine
REACTION281	fatty acid
C21-steroid	REACTION282
reduced [NADPH-hemoprotein reductase]	REACTION282
REACTION282	21-hydroxy-C21-steroid
REACTION282	oxidized [NADPH-hemoprotein reductase]
[histone]-L-lysine	REACTION283
S-adenosyl-L-methionine	REACTION283
REACTION283	[histone] N6-methyl-L-lysine
REACTION283	S-adenosyl-L-homocysteine
fatty aldehyde	REACTION284
NAD+	REACTION284
REACTION284	fatty acid
REACTION284	NADH
tRNA precursor with a 5' extension	REACTION285
REACTION285	uncharged tRNA
REACTION285	single-stranded RNA
1-phosphatidyl-1D-myo-inositol 4-phosphate	REACTION286
REACTION286	L-1-phosphatidyl-inositol
REACTION286	phosphate
non-glucuronosylated glucuronoside acceptor	REACTION287
UDP-alpha-D-glucuronate	REACTION287
REACTION287	glucuronosylated glucuronoside acceptor
REACTION287	UDP
[protein]-L-tyrosine phosphate	REACTION288
REACTION288	[protein]-L-tyrosine
REACTION288	phosphate
GTP	REACTION289
REACTION289	GDP
REACTION289	phosphate
[protein]-L-tyrosine phosphate	REACTION290
REACTION290	[protein]-L-tyrosine
REACTION290	phosphate
NADH[mitochondrial lumen]	REACTION291
ubiquinone[mitochondrial inner membrane]	REACTION291
REACTION291	NAD+[mitochondrial lumen]
REACTION291	ubiquinol[mitochondrial inner membrane]
allopregnanolone[cytosol]	REACTION292
NAD+[cytosol]	REACTION292
REACTION292	5-alpha-pregnane-3,20-dione[cytosol]
REACTION292	NADH[cytosol]
L-seryl-[tRNAsec]	REACTION293
ATP	REACTION293
REACTION293	O-phospho-L-seryl-[tRNASec]
REACTION293	ADP
[protein]-(L-serine/L-threonine)	REACTION294
ATP	REACTION294
REACTION294	[protein] (L-serine/L-threonine) phosphate
REACTION294	ADP
protein	REACTION295
REACTION295	peptide
REACTION295	peptide
2-monoglyceride	REACTION296
acyl-CoA	REACTION296
REACTION296	1,2-diacyl-sn-glycerol
REACTION296	coenzyme A
peptidylproline (omega = 180)	REACTION297
REACTION297	peptidylproline (omega = 0)
dUDP	REACTION298
ATP	REACTION298
REACTION298	dUTP
REACTION298	ADP
(1,4-alpha-D-glucosyl)(n)	REACTION299
REACTION299	(1,4-alpha-D-glucosyl)(n-1)
REACTION299	alpha-D-glucose
3-methoxy-4-hydroxyphenylglycol	REACTION300
NAD+	REACTION300
REACTION300	3-methoxy-4-hydroxyphenylglycolaldehyde
REACTION300	NADH
1D-myo-inositol 1,2,3,4,5,6-hexakisphosphate	REACTION301
ATP	REACTION301
REACTION301	1D-myo-inositol 3-diphosphate 1,2,4,5,6-pentakisphosphate
REACTION301	ADP
prostaglandin-H2	REACTION302
REACTION302	prostaglandin D2
[protein]-(L-serine/L-threonine)	REACTION303
ATP	REACTION303
REACTION303	[protein] (L-serine/L-threonine) phosphate
REACTION303	ADP
[protein] (L-serine/L-threonine) phosphate	REACTION304
REACTION304	[protein]-(L-serine/L-threonine)
REACTION304	phosphate
peptide	REACTION305
REACTION305	peptide
REACTION305	standard alpha amino acid
[protein]-(L-serine/L-threonine)	REACTION306
ATP	REACTION306
REACTION306	[protein] (L-serine/L-threonine) phosphate
REACTION306	ADP
isovaleryl-CoA	REACTION307
oxidized electron-transfer flavoprotein	REACTION307
REACTION307	3-methylcrotonyl-CoA
REACTION307	reduced electron-transfer flavoprotein
ATP	REACTION308
protein	REACTION308
REACTION308	ADP
REACTION308	phosphoprotein
supercoiled duplex DNA	REACTION309
ATP	REACTION309
REACTION309	single stranded DNA
REACTION309	ADP
REACTION309	phosphate
(9Z,12Z)-15,16-epoxyoctadeca-9,12-dienoate	REACTION310
REACTION310	(9Z,12Z)-15,16-dihydroxyoctadeca-9,12-dienoate
UDP-alpha-D-glucuronate	REACTION311
beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl-[core protein]	REACTION311
REACTION311	UDP
REACTION311	beta-D-glucuronosyl-(1->3)-beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl-[core protein]
[protein]-(L-serine/L-threonine)	REACTION312
ATP	REACTION312
REACTION312	[protein] (L-serine/L-threonine) phosphate
REACTION312	ADP
(1,4-alpha-D-glucosyl)(n)	REACTION313
phosphate	REACTION313
REACTION313	alpha-D-glucose 1-phosphate
REACTION313	(1,4-alpha-D-glucosyl)(n-1)
methyl (indol-3-yl)acetate	REACTION314
REACTION314	indole-3-acetate
REACTION314	methanol
5',5'''-diadenosine pentaphosphate	REACTION315
REACTION315	adenosine tetraphosphate
REACTION315	AMP
complement component protein C4b	REACTION316
REACTION316	complement component protein C4c
REACTION316	complement component protein C4d
[protein]-(L-serine/L-threonine)	REACTION317
ATP	REACTION317
REACTION317	[protein] (L-serine/L-threonine) phosphate
REACTION317	ADP
lithocholate	REACTION318
NADPH	REACTION318
REACTION318	hyodeoxycholate
REACTION318	NADP+
superoxide	REACTION319
dUDP	REACTION320
oxidized thioredoxin	REACTION320
REACTION320	UDP
REACTION320	reduced thioredoxin
(N-acetyl-beta-D-glucosaminyl-1,2)-alpha-D-mannosyl-1,3-(beta-N-acetyl-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-beta-D-mannosyl-R	REACTION321
UDP-N-acetyl-alpha-D-glucosamine	REACTION321
REACTION321	N-acetyl-beta-D-glucosaminyl-1,4-(N-acetyl-D-glucosaminyl-1,2)-alpha-D-mannosyl-1,3-(beta-N-acetyl-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-beta-D-mannosyl-R
REACTION321	UDP
triglyceride	REACTION322
REACTION322	1,2-diglyceride
REACTION322	fatty acid
NADH	REACTION323
ubiquinone[inner membrane]	REACTION323
REACTION323	NAD+
REACTION323	ubiquinol[inner membrane]
ceramide	REACTION324
phosphatidylcholine	REACTION324
REACTION324	sphingomyelin
REACTION324	1,2-diacyl-sn-glycerol
[protein]-L-tyrosine phosphate	REACTION325
REACTION325	[protein]-L-tyrosine
REACTION325	phosphate
[protein]-(L-serine/L-threonine)	REACTION326
ATP	REACTION326
REACTION326	[protein] (L-serine/L-threonine) phosphate
REACTION326	ADP
quinone	REACTION327
NAD(P)H	REACTION327
REACTION327	quinol
REACTION327	NAD(P)+
acetol	REACTION328
NADP+	REACTION328
REACTION328	methylglyoxal
REACTION328	NADPH
D-amino acid	REACTION329
REACTION329	ammonium
REACTION329	2-oxo carboxylate
1D-myo-inositol 1-diphosphate 2,3,4,5,6-pentakisphosphate	REACTION330
ATP	REACTION330
REACTION330	1D-myo-inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate
REACTION330	ADP
D-sedoheptulose 7-phosphate	REACTION331
D-glyceraldehyde 3-phosphate	REACTION331
REACTION331	D-ribose 5-phosphate
REACTION331	D-xylulose 5-phosphate
[protein]-(L-serine/L-threonine)	REACTION332
ATP	REACTION332
REACTION332	[protein] (L-serine/L-threonine) phosphate
REACTION332	ADP
ADP	REACTION333
REACTION333	AMP
REACTION333	phosphate
L-1-phosphatidyl-inositol	REACTION334
ATP	REACTION334
REACTION334	1-phosphatidyl-1D-myo-inositol 4-phosphate
REACTION334	ADP
phosphate monoester	REACTION335
REACTION335	alcohol
REACTION335	phosphate
polycistronic tRNA precursor	REACTION336
REACTION336	tRNA intron with a 2',3'-cyclic phosphate and a 5'-hydroxyl terminus
REACTION336	3' half-tRNA molecule with a hydroxyl on its 5' end
REACTION336	5' half-tRNA molecule with a 2',3' cyclic phosphate on its 3' end
alpha-D-mannoside	REACTION337
REACTION337	alpha-D-mannose
REACTION337	non glycosylated sugar acceptor
[protein]-(L-serine/L-threonine)	REACTION338
ATP	REACTION338
REACTION338	[protein] (L-serine/L-threonine) phosphate
REACTION338	ADP
[protein]-L-tyrosine phosphate	REACTION339
REACTION339	[protein]-L-tyrosine
REACTION339	phosphate
peptidylproline (omega = 180)	REACTION340
REACTION340	peptidylproline (omega = 0)
ubiquitin C-terminal thioester	REACTION341
REACTION341	ubiquitin
REACTION341	thiol
alpha-D-mannoside	REACTION342
REACTION342	alpha-D-mannose
REACTION342	non glycosylated sugar acceptor
cotinine	REACTION343
UDP-alpha-D-glucuronate	REACTION343
REACTION343	cotinine-glucuronide
REACTION343	UDP
IMP	REACTION344
diphosphate	REACTION344
REACTION344	5-phospho-alpha-D-ribose 1-diphosphate
REACTION344	hypoxanthine
beta-D-glucuronoside	REACTION345
REACTION345	D-glucopyranuronate
REACTION345	alcohol
[protein]-(L-serine/L-threonine)	REACTION346
ATP	REACTION346
REACTION346	[protein] (L-serine/L-threonine) phosphate
REACTION346	ADP
3-hydroxypropanoyl-CoA	REACTION347
REACTION347	3-hydroxypropanoate
REACTION347	coenzyme A
nucleoside cyclic 3',5'-monophosphate	REACTION348
REACTION348	nucleoside 5'-monophosphate
phosphatidylcholine	REACTION349
REACTION349	1-acyl 2-lyso-phosphatidylcholine
REACTION349	alpha-linolenate
[protein]-(L-serine/L-threonine)	REACTION350
ATP	REACTION350
REACTION350	[protein] (L-serine/L-threonine) phosphate
REACTION350	ADP
(1,4-alpha-D-glucosyl)(n)	REACTION351
phosphate	REACTION351
REACTION351	alpha-D-glucose 1-phosphate
REACTION351	(1,4-alpha-D-glucosyl)(n-1)
[protein]-(L-serine/L-threonine)	REACTION352
ATP	REACTION352
REACTION352	[protein] (L-serine/L-threonine) phosphate
REACTION352	ADP
dCDP	REACTION353
ATP	REACTION353
REACTION353	dCTP
REACTION353	ADP
[protein]-(L-serine/L-threonine)	REACTION354
ATP	REACTION354
REACTION354	[protein] (L-serine/L-threonine) phosphate
REACTION354	ADP
L-tryptophan	REACTION355
REACTION355	tryptamine
supercoiled duplex DNA	REACTION356
ATP	REACTION356
REACTION356	single stranded DNA
REACTION356	ADP
REACTION356	phosphate
[protein]-(L-serine/L-threonine)	REACTION357
ATP	REACTION357
REACTION357	[protein] (L-serine/L-threonine) phosphate
REACTION357	ADP
apo-4'-lycopenal	REACTION358
NAD(P)+	REACTION358
REACTION358	apo-4'-lycopenoate
REACTION358	NADPH
ATP	REACTION359
protein	REACTION359
REACTION359	ADP
REACTION359	phosphoprotein
L-1-phosphatidyl-inositol	REACTION360
REACTION360	1-acyl-sn-glycero-3-phospho-D-myo-inositol
REACTION360	carboxylate
[heparan]-N-acetyl-alpha-D-glucosamine	REACTION361
REACTION361	[heparan]-alpha-D-glucosamine
REACTION361	acetate
[protein]-L-tyrosine phosphate	REACTION362
REACTION362	[protein]-L-tyrosine
REACTION362	phosphate
ATP	REACTION363
detyrosinated alpha-tubulin	REACTION363
L-tyrosine	REACTION363
REACTION363	alpha-tubulin
REACTION363	ADP
REACTION363	phosphate
tRNAGlu	REACTION364
L-glutamate	REACTION364
ATP	REACTION364
REACTION364	L-glutamyl-[tRNAGlu]
REACTION364	AMP
REACTION364	diphosphate
alpha-maltose	REACTION365
REACTION365	alpha-D-glucose
CDP	REACTION366
ATP	REACTION366
REACTION366	CTP
REACTION366	ADP
(S)-nicotine	REACTION367
oxidized flavoprotein	REACTION367
REACTION367	nicotine-delta1'5'-iminium ion
REACTION367	reduced flavoprotein
RH	REACTION368
reduced [NADPH-hemoprotein reductase]	REACTION368
REACTION368	ROH
REACTION368	oxidized [NADPH-hemoprotein reductase]
oligopeptide	REACTION369
REACTION369	dipeptide
REACTION369	peptide
[protein]-(L-serine/L-threonine)	REACTION370
ATP	REACTION370
REACTION370	[protein] (L-serine/L-threonine) phosphate
REACTION370	ADP
L-tryptophan	REACTION371
REACTION371	2-imino-3-(indol-3-yl)propanoate
poly(ADP-D-ribose)(n)	REACTION372
REACTION372	poly(ADP-D-ribose)(n-1)
REACTION372	ADP-D-ribose
RNase G degradation substrate mRNA	REACTION373
REACTION373	single-stranded RNA
UDP-N-acetyl-alpha-D-galactosamine	REACTION374
beta-D-glucuronosyl-[chondroitin/dermatan]	REACTION374
REACTION374	N-acetyl-beta-D-galactosaminide-[chondroitin/dermatan]
REACTION374	UDP
cytidine	REACTION375
REACTION375	uridine
REACTION375	ammonium
peptide with an N-terminal L-methionine	REACTION376
REACTION376	L-methionine
REACTION376	peptide
cholesterol	REACTION377
acyl-CoA	REACTION377
REACTION377	cholesterol ester
REACTION377	coenzyme A
2,3,4-saturated fatty acyl-[acp]	REACTION378
malonyl-[acp]	REACTION378
REACTION378	3-oxoacyl-[acp]
REACTION378	holo-[acyl-carrier protein]
5-formiminotetrahydrofolate	REACTION379
REACTION379	ammonium
REACTION379	5,10-methenyltetrahydrofolate
protein	REACTION380
REACTION380	peptide
REACTION380	peptide
ubiquitin C-terminal thioester	REACTION381
REACTION381	ubiquitin
REACTION381	thiol
ATP	REACTION382
REACTION382	ADP
REACTION382	phosphate
acetylcholine	REACTION383
REACTION383	acetate
REACTION383	choline
protein	REACTION384
REACTION384	peptide
REACTION384	peptide
phenolic donor	REACTION385
REACTION385	phenoxyl radical of a phenolic donor
[protein]-L-tyrosine phosphate	REACTION386
REACTION386	[protein]-L-tyrosine
REACTION386	phosphate
glutathione	REACTION387
standard alpha amino acid	REACTION387
REACTION387	L-cysteinyl-glycine
REACTION387	(gamma-L-glutamyl)-L-amino acid
mRNA	REACTION388
REACTION388	RNase product with a 3' phosphate
REACTION388	RNase product with a 5' OH
